"csi","reasons"
"ses","I had never thought about revealing that I grew up in a low-income household to all students in this course"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"fgen","I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I had never thought about revealing my anxiety to all students in this course"
"fgen","I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the course content<split here>I was concerned students would have a negative opinion about my anxiety"
"fgen","I typically do not share that I am a first-generation college student with people<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"struggle","I thought that revealing my previous academic struggle in college to all undergraduates in this course was inappropriate<split here>I typically do not share my previous academic struggle in college with people<split here>I was concerned students would have a negative opinion about my previous academic struggle in college"
"transfer","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my college transfer status was relevant to the students in this course<split here>I did not feel my college transfer status was relevant to the course content<split here>I had never thought about revealing my college transfer status to all students in this course"
