"csi","count","reason","saw_question","pct"
"lgbtq",7,"I did not feel like I had a personal enough relationship with the students in this course",14,0.5
"lgbtq",5,"in this course was inappropriate",14,0.357142857142857
"lgbtq",9,"I typically do not share",14,0.642857142857143
"lgbtq",4,"was relevant to the students in this course",14,0.285714285714286
"lgbtq",7,"was relevant to the course content",14,0.5
"lgbtq",4,"I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department",14,0.285714285714286
"lgbtq",4,"I had never thought about",14,0.285714285714286
"lgbtq",5,"I was concerned students would have a negative opinion",14,0.357142857142857
"lgbtq",4,"result in poor course evaluations",14,0.285714285714286
"lgbtq",3,"I was concerned that I would be subjected to departmental disciplinary action",14,0.214285714285714
"lgbtq",2,"I was concerned I could be fired",14,0.142857142857143
"lgbtq",2,"would waste class time",14,0.142857142857143
"lgbq",25,"I did not feel like I had a personal enough relationship with the students in this course",51,0.490196078431373
"lgbq",18,"in this course was inappropriate",51,0.352941176470588
"lgbq",24,"I typically do not share",51,0.470588235294118
"lgbq",18,"was relevant to the students in this course",51,0.352941176470588
"lgbq",29,"was relevant to the course content",51,0.568627450980392
"lgbq",13,"I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department",51,0.254901960784314
"lgbq",15,"I had never thought about",51,0.294117647058824
"lgbq",19,"I was concerned students would have a negative opinion",51,0.372549019607843
"lgbq",15,"result in poor course evaluations",51,0.294117647058824
"lgbq",7,"I was concerned that I would be subjected to departmental disciplinary action",51,0.137254901960784
"lgbq",3,"I was concerned I could be fired",51,0.0588235294117647
"lgbq",10,"would waste class time",51,0.196078431372549
"depress",134,"I did not feel like I had a personal enough relationship with the students in this course",301,0.445182724252492
"depress",144,"in this course was inappropriate",301,0.478405315614618
"depress",220,"I typically do not share",301,0.730897009966777
"depress",119,"was relevant to the students in this course",301,0.395348837209302
"depress",156,"was relevant to the course content",301,0.518272425249169
"depress",76,"I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department",301,0.252491694352159
"depress",151,"I had never thought about",301,0.501661129568106
"depress",88,"I was concerned students would have a negative opinion",301,0.292358803986711
"depress",58,"result in poor course evaluations",301,0.192691029900332
"depress",33,"I was concerned that I would be subjected to departmental disciplinary action",301,0.109634551495017
"depress",16,"I was concerned I could be fired",301,0.053156146179402
"depress",50,"would waste class time",301,0.166112956810631
"anxiety",179,"I did not feel like I had a personal enough relationship with the students in this course",367,0.487738419618529
"anxiety",157,"in this course was inappropriate",367,0.427792915531335
"anxiety",232,"I typically do not share",367,0.632152588555858
"anxiety",162,"was relevant to the students in this course",367,0.44141689373297
"anxiety",188,"was relevant to the course content",367,0.512261580381471
"anxiety",96,"I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department",367,0.26158038147139
"anxiety",179,"I had never thought about",367,0.487738419618529
"anxiety",98,"I was concerned students would have a negative opinion",367,0.267029972752044
"anxiety",79,"result in poor course evaluations",367,0.215258855585831
"anxiety",29,"I was concerned that I would be subjected to departmental disciplinary action",367,0.0790190735694823
"anxiety",12,"I was concerned I could be fired",367,0.0326975476839237
"anxiety",68,"would waste class time",367,0.185286103542234
"ses",56,"I did not feel like I had a personal enough relationship with the students in this course",188,0.297872340425532
"ses",77,"in this course was inappropriate",188,0.409574468085106
"ses",86,"I typically do not share",188,0.457446808510638
"ses",81,"was relevant to the students in this course",188,0.430851063829787
"ses",116,"was relevant to the course content",188,0.617021276595745
"ses",33,"I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department",188,0.175531914893617
"ses",91,"I had never thought about",188,0.484042553191489
"ses",17,"I was concerned students would have a negative opinion",188,0.0904255319148936
"ses",10,"result in poor course evaluations",188,0.0531914893617021
"ses",3,"I was concerned that I would be subjected to departmental disciplinary action",188,0.0159574468085106
"ses",2,"I was concerned I could be fired",188,0.0106382978723404
