"reason","total_select","saw_question","pct"
"I typically do not share",791,1418,0.557827926657264
"was relevant to the course content",766,1418,0.540197461212976
"I had never thought about",661,1418,0.466149506346968
"was relevant to the students in this course",577,1418,0.406911142454161
"in this course was inappropriate",558,1418,0.393511988716502
"I did not feel like I had a personal enough relationship with the students in this course",554,1418,0.390691114245416
"I was concerned students would have a negative opinion",309,1418,0.217912552891396
"I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department",302,1418,0.212976022566996
"would waste class time",228,1418,0.160789844851904
"result in poor course evaluations",217,1418,0.153032440056418
"I was concerned that I would be subjected to departmental disciplinary action",97,1418,0.0684062059238364
"I was concerned I could be fired",57,1418,0.040197461212976
